Date,Close/Last,Open,High,Low
04/01/2022,8302.16,8367.53,8385.14,8204.56
03/31/2022,8320.06,8430.51,8486.15,8317.92
03/30/2022,8436.85,8556.80,8621.18,8395.62
03/29/2022,8625.33,8561.96,8646.96,8456.83
03/28/2022,8432.89,8280.91,8434.39,8221.70
03/25/2022,8296.72,8357.67,8374.28,8163.03
03/24/2022,8366.91,8173.35,8368.52,8089.74
03/23/2022,8112.29,8182.65,8297.91,8094.92
03/22/2022,8307.61,8124.36,8378.14,8120.17
03/21/2022,8137.68,8129.65,8209.85,7990.74
03/18/2022,8198.84,7924.05,8211.46,7900.40
03/17/2022,7964.40,7768.17,7965.77,7733.02
03/16/2022,7852.50,7591.39,7854.03,7500.45
03/15/2022,7431.49,7252.99,7443.21,7190.19
03/14/2022,7193.06,7393.98,7452.21,7148.46
03/11/2022,7440.16,7744.43,7748.55,7431.74
03/10/2022,7688.81,7711.83,7732.75,7569.35
03/09/2022,7839.27,7723.70,7874.66,7657.27
03/08/2022,7489.40,7460.99,7723.78,7353.20
03/07/2022,7492.44,7918.34,7944.93,7490.24
03/04/2022,7883.91,8052.53,8104.06,7820.44
03/03/2022,8080.89,8315.95,8333.96,8028.52
03/02/2022,8295.85,8176.07,8325.47,8061.63
03/01/2022,8123.38,8298.72,8350.82,8062.66
02/28/2022,8277.56,8195.26,8353.00,8140.98
02/25/2022,8242.19,8105.19,8245.18,7989.44
02/24/2022,8158.97,7478.76,8168.17,7467.81
02/23/2022,7753.33,8076.70,8109.06,7747.85
02/22/2022,7951.88,7912.74,8109.55,7861.50
02/18/2022,7985.25,8142.87,8162.53,7925.49
02/17/2022,8131.54,8398.87,8402.31,8121.29
02/16/2022,8488.13,8438.91,8512.79,8342.94
02/15/2022,8541.59,8392.39,8552.27,8348.96
02/14/2022,8235.96,8232.94,8364.42,8146.41
02/11/2022,8221.38,8623.14,8665.07,8173.06
02/10/2022,8586.10,8594.16,8858.11,8540.88
02/09/2022,8776.54,8626.69,8778.53,8551.43
02/08/2022,8487.92,8295.13,8509.98,8288.27
02/07/2022,8344.12,8399.98,8515.43,8315.86
02/04/2022,8389.05,8249.56,8464.35,8183.13
02/03/2022,8259.61,8408.71,8525.76,8236.09
02/02/2022,8670.14,8710.29,8721.91,8534.74
02/01/2022,8594.73,8587.72,8604.56,8396.05
01/31/2022,8542.90,8190.49,8545.19,8146.42
01/28/2022,8134.19,7904.19,8135.76,7717.36
01/27/2022,7868.57,8179.57,8200.68,7852.39
01/26/2022,8053.92,8257.39,8402.29,7958.73
01/25/2022,8029.52,8167.59,8226.79,7995.51
01/24/2022,8370.66,8052.33,8378.92,7798.47
01/21/2022,8235.05,8387.42,8547.86,8221.02
01/20/2022,8447.70,8678.42,8792.10,8442.14
01/19/2022,8575.20,8739.95,8847.87,8571.48
01/18/2022,8678.99,8799.25,8900.32,8660.19
01/14/2022,8983.20,8793.59,8985.82,8793.03
01/13/2022,8858.22,9241.28,9263.70,8841.69
01/12/2022,9167.65,9240.96,9301.39,9093.14
01/11/2022,9146.78,8936.79,9155.74,8894.86
01/10/2022,8991.20,8771.77,8998.40,8632.17
01/07/2022,8939.64,9100.36,9187.13,8887.25
01/06/2022,9117.75,8995.12,9195.20,8952.44
01/05/2022,9044.62,9304.37,9384.96,9039.45
01/04/2022,9408.16,9558.84,9560.19,9239.37
01/03/2022,9565.42,9596.48,9649.77,9450.44
12/31/2021,9575.39,9621.65,9666.88,9572.46
12/30/2021,9637.17,9658.53,9739.17,9626.76
12/29/2021,9656.89,9660.66,9693.50,9583.28
12/28/2021,9657.73,9790.93,9793.42,9629.86
12/27/2021,9764.90,9620.22,9766.72,9620.22
12/23/2021,9584.75,9523.30,9619.46,9509.78
12/22/2021,9508.17,9391.73,9510.28,9354.35
12/21/2021,9431.28,9263.66,9439.37,9136.51
12/20/2021,9113.24,9056.32,9166.34,9044.56
12/17/2021,9219.35,9096.70,9312.58,9065.02
12/16/2021,9194.33,9548.15,9548.15,9138.36
12/15/2021,9521.55,9250.65,9528.76,9141.61
12/14/2021,9240.21,9231.58,9298.36,9132.51
12/13/2021,9373.76,9522.73,9540.56,9368.47
12/10/2021,9518.14,9564.39,9613.04,9429.64
12/09/2021,9448.10,9601.93,9684.01,9442.01
12/08/2021,9646.89,9582.88,9664.98,9529.00
12/07/2021,9612.73,9452.45,9641.89,9452.45
12/06/2021,9246.26,9165.75,9261.52,9006.86
12/03/2021,9175.67,9389.61,9429.34,9057.02
12/02/2021,9371.55,9238.76,9430.20,9213.31
12/01/2021,9275.78,9596.55,9632.56,9266.17
11/30/2021,9446.78,9637.57,9693.73,9415.64
11/29/2021,9670.75,9541.23,9683.74,9479.60
